0.1         Program initialize
0.2         Topology, hierarchy
0.3         Raw HTML pages
0.4         Hierarchy divide, sidebar edit
0.4.1       Hierarchy edit
0.5         sidebar now active and working
0.5.1       changed icons, mailto fix
0.6         login page slight changes
0.7         color calibration
0.8         login page redesign
0.9         added back buttons
0.10        directory reorganisation
0.10.1      reorganisation
0.11        huge subject update
0.12        mobile phone resolution optimization
0.13        tablet resolution optimization
0.14        professor buttons now working
0.15        subject implementation ready
0.16        started subject implementation
0.16.1      First wave of subjects implemented (PEF-INFO-semester 1)
0.16.2      FTZ added s
